participant_id,cohort,race_simplified,gender_simplified,accent_simplified,audit_eligible,strict_audit_eligible,prolific_recruitment_group,prolific_filter_matches_self_report,age_bin,income_bin,education,gender_self_report,race_self_report_raw,race_other_text,english_proficiency,english_accent_self_report,english_accent_other_text,primary_language,primary_language_other_text,languages_fluent,languages_fluent_other_text,residency_state,residency_other_text,country_childhood,country_childhood_other_text,state_childhood,recording_device,recording_device_other_text,device_brand_model_text,frequency_voice_assistant,frequency_text_assistant,ux_voice,voice_underperform_text,duration_s
P0306,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$30,000 to $39,999",Associate degree in college (2-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,North Carolina,,United States,,North Carolina,Tablet,,TCL TAB 8 PLUS,"At least once per month, but not every week",Only a few times,Very well,No,1937
P0260,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$60,000 to $69,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Texas,,United States,,Louisiana,Laptop/Computer with built-in microphone,,gateway,"At least once per week, but not every day",Daily or more,Very well,,2160
P0294,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$100,000 to $149,999",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Michigan,,United States,,Michigan,Smartphone,,Apple IPhone 15,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,Sometimes they do not understand the words as spoken.,2685
P0298,reconsent,Black,Female,SAE,True,True,bl_fe,True,35-44,"$20,000 to $29,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Louisiana,,United States,,Louisiana,Laptop/Computer with built-in microphone,,hp,Daily or more,Daily or more,Very well,none,2926
P0273,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$30,000 to $39,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,New York,,United States,,New York,Smartphone,,Samsung galaxy a15,Daily or more,"At least once per week, but not every day",Very well,Not at all,2344
P0279,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$20,000 to $29,999",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Texas,,United States,,Texas,Laptop/Computer with built-in microphone,,laptop hp,Daily or more,Daily or more,Very well,No,4010
P0403,reconsent,White,Female,SAE,True,True,wh_fe,True,45-54,"$100,000 to $149,999",Master's degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Illinois,,United States,,Illinois,Laptop/Computer with built-in microphone,,Macbook Air,Only a few times,Daily or more,Very well,"No, they almost always get it right'",771
P0404,reconsent,White,Female,non-SAE,True,True,wh_fe,True,35-44,"$100,000 to $149,999",Master's degree,Woman,White or European American,,I speak English fluently as a first language,Southern accent,,English,,English,,South Carolina,,United States,,South Carolina,Laptop/Computer with built-in microphone,,Acer Aspire 5,Only a few times,"At least once per month, but not every week",Moderately well,"Nothing too specific, mostly just misunderstood words.",901
P0400,reconsent,White,Female,SAE,True,True,wh_fe,True,35-44,"$90,000 to $99,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Nebraska,,United States,,Nebraska,Laptop/Computer with built-in microphone,,HP Laptop 15,Only a few times,Only a few times,Very well,no,1245
P0390,reconsent,White,Female,SAE,True,True,wh_fe,True,45-54,"$10,000 to $19,999",Some college but no degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,California,,United States,,Oregon,Smartphone,,iPhone 11 Pro Max ,"At least once per month, but not every week","At least once per week, but not every day",Moderately well,,1226
P0408,reconsent,White,Female,non-SAE,True,True,wh_fe,True,45-54,"$30,000 to $39,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,Southern accent,,English,,English,,South Carolina,,United States,,South Carolina,Laptop/Computer with built-in microphone,,Acer Chromebook 15,Daily or more,"At least once per week, but not every day",Moderately well,Sometimes they have issues understanding my accent and I have to repeat myself or correct what they don't understand.,1038
P0402,reconsent,White,Female,SAE,True,True,wh_fe,True,55-64,"$40,000 to $49,999",Some college but no degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Washington,,United States,,Utah,Laptop/Computer with built-in microphone,,"Lenovo 14e Chromebook 14""",Daily or more,"At least once per week, but not every day",Very well,Sometimes they don't give the correct response and I have to repeat myself. ,1391
P0428,reconsent,White,Female,non-SAE,True,True,wh_fe,True,35-44,"$80,000 to $89,999",Doctoral degree,Woman,White or European American,,I speak English fluently as a first language,"Midland or Northern Midwest accent,Standard American English",,English,,English,,Ohio,,United States,,Michigan,Smartphone,,iPhone 17 pro,"At least once per week, but not every day","At least once per month, but not every week",Slightly well,"Siri is a bit spotty, she gets my commands wrong often",1264
P0381,reconsent,White,Female,non-SAE,True,True,wh_fe,True,35-44,"$50,000 to $59,999",Associate degree in college (2-year),Woman,White or European American,,I speak English fluently as a first language,"New England accent,Standard American English",,English,,English,,New York,,United States,,New York,Laptop/Computer with built-in microphone,,asus vivoBook 15,"At least once per week, but not every day","At least once per month, but not every week",Extremely well,no usually all is understood,1451
P0382,reconsent,White,Female,SAE,True,True,wh_fe,True,45-54,"$20,000 to $29,999",Some college but no degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Georgia,,United States,,Missouri,Laptop/Computer with built-in microphone,,HP Pavilion laptop 15,Only a few times,"At least once per month, but not every week",Moderately well,"Not yet. I have only used them a little, though.",1606
P0425,reconsent,White,Female,non-SAE,True,True,wh_fe,True,45-54,"$60,000 to $69,999",Some college but no degree,Woman,"Hispanic or Latino,White or European American",,I speak English fluently as a first language,"California accent,Standard American English",,English,,English,,Florida,,United States,,California,Smartphone,,iPhone 12,"At least once per month, but not every week","At least once per month, but not every week",Moderately well,"Yes. Especially with Siri and asking for directions, or misunderstanding what I said.",1177
P0423,reconsent,White,Female,SAE,True,True,wh_fe,True,55-64,"$20,000 to $29,999",Some college but no degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Illinois,,United States,,Illinois,Laptop/Computer with built-in microphone,,Dell Inspiron 15 3535,Daily or more,"At least once per week, but not every day",Slightly well,"They're great for basic things like time, temperature, setting timers, reminders and alarms. But ask even a mildly complicated question, like whether a Polish accent would sound Slavic or something historical, or a math question, and very often it says it can't help. ",1623
P0411,reconsent,White,Female,SAE,True,True,wh_fe,True,65-74,"$100,000 to $149,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,New York,,United States,,New York,Laptop/Computer with external microphone,,Dell XPS 13 -JABRA Link 380,Daily or more,Daily or more,Very well,no,1504
P0397,reconsent,White,Female,SAE,True,True,wh_fe,True,35-44,"$90,000 to $99,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Maryland,,United States,,Maryland,Smartphone,,iPhone 13 Pro,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,Not really. It usually does well. ,1571
P0427,reconsent,White,Female,SAE,True,True,wh_fe,True,35-44,"$60,000 to $69,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Michigan,,United States,,Michigan,Smartphone,,iPhone 15,"At least once per week, but not every day","At least once per week, but not every day",Very well,No nothing I can think of.,1276
P0398,reconsent,White,Female,non-SAE,True,True,wh_fe,True,65-74,"$70,000 to $79,999",Associate degree in college (2-year),Woman,White or European American,,I speak English fluently as a first language,Midland or Northern Midwest accent,,English,,English,,Florida,,United States,,Illinois,Laptop/Computer with external microphone,,Lenovo,Daily or more,Daily or more,Very well,"No, they all have been very helpful.",1589
P0375,reconsent,White,Female,non-SAE,True,True,wh_fe,True,55-64,"$100,000 to $149,999",Associate degree in college (2-year),Woman,White or European American,,I speak English fluently as a first language,"Southern accent,Standard American English",,English,,"English,French",,Pennsylvania,,United States,,Massachusetts,Laptop/Computer with built-in microphone,,Surface Pro,Daily or more,"At least once per week, but not every day",Extremely well,"Occasionally Alexa comes back with ""I don't know that"" in response to questions",1429
P0387,reconsent,White,Female,SAE,True,True,wh_fe,True,35-44,"$50,000 to $59,999",Some college but no degree,Woman,White or European American,,I speak English fluently as a first language,Standard American English,,English,,English,,Washington,,United States,,"Illinois,Louisiana,Texas,Wisconsin",Laptop/Computer with built-in microphone,,Acer Aspire 5,Not at all,Only a few times,Moderately well,no,1716
